Name,Accession,Description,Organism,Sequence Length,host
KX196173,KX196173.2,"Senna mosaic virus isolate Brazilian, complete genome",Senna mosaic virus,6775,Senna occidentalis
KX883791,KX883791.1,"Cactus virus X strain SCM51431 ORF1, ORF2, ORF3, and ORF4 genes, complete cds",Cactus virus X,6610,Diptera
KY348771,KY348771.1,"Opuntia virus X isolate Noptuna-Mex, complete genome",Opuntia virus X,6656,Opuntia albicarpa cv. nopal tunero
LC107515,LC107515.1,"Alternanthera mosaic virus genomic RNA, complete genome, isolate: Ac",Alternanthera mosaic virus,6604,Achyranthes bidentata
LC107517,LC107517.1,"Hydrangea ringspot virus genomic RNA, complete genome, isolate: Gu2",Hydrangea ringspot virus,6196,Hydrangea macrophylla
LC128411,LC128411.1,"Cactus virus X genomic RNA, complete genome",Cactus virus X,6618,Hylocereus undatus
LC155795,LC155795.1,"Plantago asiatica mosaic virus genomic RNA, complete genome, isolate: NJ",Plantago asiatica mosaic virus,6122,Nandina domestica
MF978248,MF978248.1,"Babaco mosaic virus isolate Tandapi, complete genome",Babaco mosaic virus,6692,Vasconcellea x heilbornii
MG210801,MG210801.1,"Mytcor virus 1 replicative protein gene, partial cds; and protein 2 and protein 3 genes, complete cds",Mytcor virus 1,5689,Mytilus coruscus
MH423501,MH423501.1,"Alternanthera mosaic virus isolate DH, complete genome",Alternanthera mosaic virus,6598,Epiphyllum sp. cv. Dragon Heart
